# Graph Title,Efficiency vs Load Current 1MHz
# Curve Count,3
# X Scale,Linear
# Y Scale,Linear
# X Unit Prefix,1
# Y Unit Prefix,1
# X Min,0
# X Max,25
# Y Min,70
# Y Max,100
# Exported At,2026-06-17T12:00:00.000Z

# Curve,V_OUT = 0.5V
# Temperature,25

Index,X,Y
1,2,81.57515528
2,3,86.46931559
3,4,89.16567504
4,5,90.20515716
5,6,91.2915899
6,7,91.42112683
7,8,91.68832911
8,9,91.80264698
9,10,91.98850586
10,11,91.95101967
11,12,91.66675919
12,13,91.4748632
13,14,91.1670264
14,15,91.05417985
15,16,90.55545696
16,17,90.34480016
17,18,90.0600663
18,19,89.92127059
19,20,89.5231913
20,21,89.28449596
21,22,88.86279361
22,23,88.69098327
23,24,88.33176178
24,25,87.96807178

# Curve,V_OUT = 0.8V
# Temperature,25

Index,X,Y
1,2,86.42797385
2,3,89.87197684
3,4,91.96465973
4,5,92.87656865
5,6,93.81936567
6,7,94.28319269
7,8,94.33034726
8,9,94.40424583
9,10,94.52121914
10,11,94.30050107
11,12,94.17439077
12,13,93.92500493
13,14,93.82425892
14,15,93.60324232
15,16,93.53199978
16,17,93.27190907
17,18,92.9115979
18,19,92.75378224
19,20,92.55674538
20,21,92.32781203
21,22,92.21028671
22,23,91.83325926
23,24,91.67374166
24,25,91.39726186

# Curve,V_OUT = 1V
# Temperature,25

Index,X,Y
1,2,88.03928933
2,3,91.7218959
3,4,93.34541711
4,5,94.27351804
5,6,94.63297933
6,7,94.99843911
7,8,95.20345735
8,9,95.41548825
9,10,95.50497318
10,11,95.38044928
11,12,95.1693848
12,13,95.04895307
13,14,94.98198198
14,15,94.67978342
15,16,94.51734176
16,17,94.33141034
17,18,94.17767755
18,19,93.97035448
19,20,93.7086347
20,21,93.58698952
21,22,93.28114723
22,23,93.14444085
23,24,92.93968256
24,25,92.68764121

